Contract Description,Vendor Name,Amount,Start Date,Contract No.,C.O. No.,Line No,SOA No.,Department,Contract Type,Tender Class,Community,Type,Fiscal Year
Rental of two dump trucks,11808 YUKON INC,"$75,000.00",2012-07-19,C00014659,Original,,SR12 - 008,Highways & Public Works,Equipment Rental,Price Driven,Ross River,P,2012-13
Rental of two dump trucks,11808 YUKON INC,"$25,000.00",2012-07-19,C00014659,1,,SR12 - 008,Highways & Public Works,Equipment Rental,Price Driven,Ross River,P,2012-13
Hwy#4 NCanol Fisheries Assessment,PAUL D SPARLING O/A,"$35,690.00",2012-07-30,C00014711,Original,,55-12-004,Highways & Public Works,Service,Value Driven,Whitehorse,I,2012-13
Hwy#4 NCanol Fisheries Assessment,PAUL D SPARLING O/A,$0.00,2012-07-30,C00014711,1,,55-12-004,Highways & Public Works,Service,Value Driven,Whitehorse,I,2012-13
Provide mentoring service to various School Administrators,RUTH LAWRENCE,"$15,000.00",2012-08-01,C00014712,Original,,,Education,Service,Value Driven,Whitehorse,D,2012-13
Provide mentoring service to various School Administrators,KEN TAYLOR O/A TMS CONSULTING,"$15,000.00",2012-08-01,C00014713,Original,,,Education,Service,Value Driven,Whitehorse,D,2012-13
Replace Synchronized Time System and Teslin School,SPECTRUM SECURITY SOUND LTD,-$240.00,2012-07-10,C00014557,1,,,Highways & Public Works,Construction,Price Driven,Whitehorse,I,2012-13
Replace Synchronized Time System at Watson Lake Secondary,SPECTRUM SECURITY SOUND LTD,"$17,827.00",2012-07-10,C00014558,Original,,,Highways & Public Works,Construction,Price Driven,Whitehorse,I,2012-13
Replace Synchronized Time System at Watson Lake Secondary,SPECTRUM SECURITY SOUND LTD,$186.00,2012-07-10,C00014558,1,,,Highways & Public Works,Construction,Price Driven,Whitehorse,I,2012-13
Creation of design and layout for workbook,PAUL GOWDIE O/A TARIUS DESIGN,"$10,000.00",2012-07-18,C00014559,Original,,,Executive Council Office,Service,Value Driven,Whitehorse,I,2012-13
Creation of design and layout for workbook,PAUL GOWDIE O/A TARIUS DESIGN,$0.00,2012-07-18,C00014559,1,,,Executive Council Office,Service,Value Driven,Whitehorse,I,2012-13
Creation of design and layout for workbook,PAUL GOWDIE O/A TARIUS DESIGN,$0.00,2012-07-18,C00014559,2,,,Executive Council Office,Service,Value Driven,Whitehorse,I,2012-13
Creation of design and layout for workbook,PAUL GOWDIE O/A TARIUS DESIGN,$0.00,2012-07-18,C00014559,3,,,Executive Council Office,Service,Value Driven,Whitehorse,I,2012-13
FAM Flightseeing tour,TRANS NORTH TURBO AIR LTD,"$2,000.00",2012-07-28,C00014607,Original,,,Tourism And Culture,Aircraft Charter,Price Driven,Dawson City,D,2012-13
FAM Flightseeing tour,TRANS NORTH TURBO AIR LTD,"$1,622.12",2012-07-28,C00014607,1,,,Tourism And Culture,Aircraft Charter,Price Driven,Dawson City,D,2012-13
FAM Flightseeing tour,TRANS NORTH TURBO AIR LTD,"$1,850.00",2012-07-28,C00014607,2,,,Tourism And Culture,Aircraft Charter,Price Driven,Dawson City,D,2012-13
Duct cleaning Pod H Copper Ridge Place (Bldg 1389),16373 YUKON INC O/A,"$9,843.00",2012-07-23,C00014608,Original,,,Highways & Public Works,Service,Price Driven,Whitehorse,I,2012-13
Duct cleaning Pod H Copper Ridge Place (Bldg 1389),16373 YUKON INC O/A,"$1,365.00",2012-07-23,C00014608,1,,,Highways & Public Works,Service,Price Driven,Whitehorse,I,2012-13
Provision of Rooms/Meals/Guiding for the various fams,GRAYLING CAMP ENTERPRISES LTD,"$3,500.00",2012-07-24,C00014610,Original,,,Tourism And Culture,Service,Price Driven,Haines Junction,D,2012-13
Rental of two dump trucks,11808 YUKON INC,$0.00,2012-07-19,C00014659,2,,SR12 - 008,Highways & Public Works,Equipment Rental,Price Driven,Ross River,P,2012-13
Maintenance & Support of Remote Sensing Sites,NORTHERN AVCOM LTD,"$130,000.00",2012-07-23,C00014662,Original,,,Highways & Public Works,Service,Request for Proposals,Other,P,2012-13
Maintenance & Support of Remote Sensing Sites,NORTHERN AVCOM LTD,"$6,000.00",2012-07-23,C00014662,1,,,Highways & Public Works,Service,Request for Proposals,Other,P,2012-13
Land Claims Training for SDB staff,YUKON COLLEGE,"$2,700.00",2013-01-01,C00014714,Original,,,Public Service Commission,Service,Value Driven,Whitehorse,D,2012-13
Drilling program for Geotech -McGowan Subdivision,DONALD PILSWORTH O/A,"$21,728.00",2012-07-02,C00014716,Original,,,"Energy, Mines & Resources",Service,Value Driven,Whitehorse,D,2012-13
Construct two wooden handicap outhouses,ROBERT V ROSS O/A,"$9,200.00",2012-08-03,C00014718,Original,,,Tourism And Culture,Service,Value Driven,Whitehorse,D,2012-13
"Envoirnmental SCAN and SWOT analaysis for the PD&R unit, T&C",PATTI BALSILLIE MANAGEMENT,"$11,040.00",2012-08-10,C00014720,Original,,,Tourism And Culture,Service,Value Driven,Whitehorse,D,2012-13
Consulting services for fall restraint,STANTEC ARCHITECTURE LTD,"$7,400.00",2012-07-27,C00014721,Original,,,Highways & Public Works,Service,Value Driven,Whitehorse,D,2012-13
Flood Technical Specialist,KGS GROUP CONSULTING,"$20,000.00",2012-07-30,C00014722,Original,,,Community Services,General Consulting,Value Driven,Whitehorse,I,2012-13
WGH Psychiatric coverage for Weedends & Holidays,P LAUREIJS MD PROFESSIONAL,"$1,490.50",2012-04-01,C00014560,Original,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2012-13
Resurfacing Road,GAMMIE TRUCKING,"$137,500.00",2012-07-18,C00014561,Original,,,Highways & Public Works,Equipment Rental,Price Driven,Other,P,2012-13
Resurfacing Road,JOHN BUERGE O/A,"$82,250.00",2012-07-18,C00014562,Original,,SR12-001,Highways & Public Works,Equipment Rental,Price Driven,Other,P,2012-13
Resurfacing from km 172-237 Dem[ster Highway,MICA CREEK EXCAVATING INC,"$51,250.00",2012-07-18,C00014563,Original,,SR12-006,Highways & Public Works,Equipment Rental,Price Driven,Other,P,2012-13
Phase Two - Civil Works,NORCOPE ENTERPRISES LTD,"$1,188,888.88",2012-07-17,C00014565,Original,,,Highways & Public Works,Construction,Price Driven,Whitehorse,P,2012-13
Provision of rooms and meals for TV crew,WESTMARK HOTELS OF CANADA LTD,"$6,000.00",2012-08-03,C00014611,Original,,,Tourism And Culture,Service,Value Driven,Whitehorse,D,2012-13
Fisheries fieldwork,FIREWEED HELICOPTERS LTD,"$13,200.00",2012-07-24,C00014612,Original,,,Environment,Aircraft Charter,Price Driven,Dawson City,I,2012-13
Annual service for vehicle fire extinguishers in Yukon,TOTAL FIRE PROTECTION SERVICES,"$9,000.00",2012-07-23,C00014613,Original,,,Highways & Public Works,Service,Price Driven,Whitehorse,I,2012-13
Provision of environmental analytical laboratoray services,MAXXAM ANALYTICS INC,"$50,000.00",2012-07-23,C00014614,Original,,,Environment,Service,Value Driven,Whitehorse,P,2012-13
Broken Water Main repairs - Dawson Health Centre Bldg; 2921,JEFF C BISHOP O/A,"$2,532.30",2012-07-16,C00014663,Original,,,Highways & Public Works,Service,Value Driven,Dawson City,D,2012-13
Soil Testing,EBA ENGINEERING,"$5,000.00",2012-07-18,C00014664,Original,,,Highways & Public Works,Service,Price Driven,Whitehorse,D,2012-13
Survey Services at Whitehorse Airport,YUKON ENGINEERING SERVICES INC,"$19,943.00",2012-07-25,C00014665,Original,,,Highways & Public Works,Service,Price Driven,Whitehorse,P,2012-13
Diversion Channel Assessment,EBA ENGINEERING,"$20,000.00",2012-07-27,C00014723,Original,,AAMB-11-001-EBA,"Energy, Mines & Resources",General Consulting,Value Driven,Other,D,2012-13
Diversion Channel Assessment,EBA ENGINEERING,"-$16,185.00",2012-07-27,C00014723,1,,AAMB-11-001-EBA,"Energy, Mines & Resources",General Consulting,Value Driven,Other,D,2012-13
Physician Services to the Community of Carcross,STEPHANIE R BUCHANAN,"$4,602.80",2012-08-01,C00014725,Original,,,Health & Social Services,Service,Value Driven,Carcross,D,2012-13
Wheel Chair Ramp and Floor Removal Whitehorse Bldg#1233,PAT STEVENS O/A,"$5,190.00",2012-07-23,C00014726,Original,,,Highways & Public Works,Service,Price Driven,Whitehorse,D,2012-13
Phase Two - Civil Works,NORCOPE ENTERPRISES LTD,$0.00,2012-07-17,C00014565,1,,,Highways & Public Works,Construction,Price Driven,Whitehorse,P,2012-13
Phase Two - Civil Works,NORCOPE ENTERPRISES LTD,$0.00,2012-07-17,C00014565,2,,,Highways & Public Works,Construction,Price Driven,Whitehorse,P,2012-13
"Compactor stairs construction, Marsh Lk Solid Waste Facility",7573 YUKON LTD O/A,"$15,000.00",2012-07-20,C00014615,Original,,,Community Services,Service,Value Driven,Other,D,2012-13
Engineering Services for Well Tie-In 4,AECOM CANADA LTD,"$59,955.50",2012-07-30,C00014616,Original,,,Community Services,Engineering/Architectural,Value Driven,Watson Lake,D,2012-13
Engineering Services for Well Tie-In 4,AECOM CANADA LTD,$0.00,2012-07-30,C00014616,1,,,Community Services,Engineering/Architectural,Value Driven,Watson Lake,D,2012-13
Profiling of various Yukon Highways,DYNATEST CONSULTING INC,"$24,648.70",2012-08-01,C00014667,Original,,,Highways & Public Works,Service,Price Driven,Other,D,2012-13
Drinking Water Sampling - Northern Region,GRANT LUNDY O/A,"$2,412.00",2012-06-18,C00014668,Original,,,Highways & Public Works,Service,Value Driven,Dawson City,D,2012-13
Tailings Dam Assessment,BOREAL ENGINEERING LTD,"$34,050.00",2012-07-25,C00014669,Original,,AAMB-11-001-Boreal,"Energy, Mines & Resources",Engineering/Architectural,Value Driven,Other,P,2012-13
"Leadership Assessments, Coaching for PSC employees",KWELA LEADERSHIP & TALENT,"$6,600.00",2012-06-01,C00014670,Original,,SDB-39-20150416,Public Service Commission,Service,Value Driven,Whitehorse,P,2012-13
Construct storage shed for Destruction bay Transfer stn.,L BOUDREAU & L JOHNSON,"$4,443.05",2012-08-17,C00014727,Original,,,Community Services,Construction,Value Driven,Destruction Bay,D,2012-13
Road Safety Program Advertising,HARPER STREET PUBLISHING INC,"$3,259.00",2012-07-27,C00014728,Original,,,Highways & Public Works,Service,Value Driven,Whitehorse,D,2012-13
Construction Supervision for Carcross Grader Station,JIM VAUTOUR O/A JIM VAUTOUR,"$11,500.00",2012-07-30,C00014729,Original,,,Highways & Public Works,Construction,Value Driven,Carcross,D,2012-13
Rental of packer,PORCUPINE ENTERPRISES LTD,"$10,000.00",2012-06-08,C00014730,Original,,,Highways & Public Works,Equipment Rental,Value Driven,Old Crow,D,2012-13
Rental of packer,PORCUPINE ENTERPRISES LTD,"-$5,454.00",2012-06-08,C00014730,1,,,Highways & Public Works,Equipment Rental,Value Driven,Old Crow,D,2012-13
Fibre Cross Connect to River's Edge Building,POLAR GROUP ICT INC. O/A,"$5,000.00",2012-07-17,C00014566,Original,,,Highways & Public Works,Service,Value Driven,Whitehorse,D,2012-13
Music therapy,SERENA MCKONE,"$23,000.00",2012-09-04,C00014567,Original,,,Education,Service,Value Driven,Whitehorse,D,2012-13
Engineering Services for Well Tie-In 4,AECOM CANADA LTD,"$9,036.93",2012-07-30,C00014616,2,,,Community Services,Engineering/Architectural,Value Driven,Watson Lake,D,2012-13
"Leadership Assessments, Coaching for PSC employees",KWELA LEADERSHIP & TALENT,"$2,160.36",2012-06-01,C00014670,1,,SDB-39-20150416,Public Service Commission,Service,Value Driven,Whitehorse,P,2012-13
Re-Os Isotopic dating of Klondike Placer & Iode Au deposits,RYAN DILIP MATHUR,"$8,600.00",2012-08-06,C00014672,Original,,,"Energy, Mines & Resources",Service,Value Driven,Whitehorse,D,2012-13
Equine Therapy,FREEDOM TRAILS THERAPEUTIC,"$2,275.00",2012-05-15,C00014673,Original,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2012-13
Install control components and wiring system Bldg 1215,43862 YUKON INC,"$11,375.00",2012-07-23,C00014674,Original,,,Highways & Public Works,Service,Price Driven,Whitehorse,I,2012-13
Smoke Screening Tobacco Education Program,KIM SANDERSON,"$42,000.00",2012-07-19,C00014675,Original,,,Health & Social Services,General Consulting,Value Driven,Whitehorse,D,2012-13
Air Photography and Contour Mapping,UNDERHILL GEOMATICS LTD,"$29,865.00",2012-07-30,C00014731,Original,,CS-IDB-1101-03,Community Services,Service,Price Driven,Dawson City,P,2012-13
"Design, build and deploy online workbook",SUBVERT MARKETING INC,"$22,000.00",2012-08-06,C00014732,Original,,,Executive Council Office,Service,Value Driven,Whitehorse,D,2012-13
Teen Parent Center - Upgrade sprinkler supply piping.,BUDGET PLUMBING & HEATING INC,"$14,500.00",2012-07-24,C00014733,Original,,,Highways & Public Works,Service,Price Driven,Whitehorse,I,2012-13
Flooring Replacement Jack hulland Elementary School,CANADA FLOORING,"$2,628.00",2012-08-01,C00014734,Original,,,Highways & Public Works,Service,Price Driven,Whitehorse,D,2012-13
Contract admin. services for DVG school  fire alarm installa,DORWARD ENGINEERING SERVICES,"$8,200.00",2012-07-30,C00014735,Original,,,Highways & Public Works,Service,Value Driven,Faro,D,2012-13
Watermain Replacement,12567 YUKON INC,"$69,626.00",2012-07-10,C00014568,Original,,,Highways & Public Works,Construction,Price Driven,Whitehorse,P,2012-13
Watermain Replacement,12567 YUKON INC,$0.00,2012-07-10,C00014568,1,,,Highways & Public Works,Construction,Price Driven,Whitehorse,P,2012-13
Watermain Replacement,12567 YUKON INC,"$11,291.02",2012-07-10,C00014568,2,,,Highways & Public Works,Construction,Price Driven,Whitehorse,P,2012-13
Flight Kitchen Demolition Estimate (non-asbestos),JON T SCHMIDT O/A JON T.,"$1,100.00",2012-07-17,C00014569,Original,,,Highways & Public Works,General Consulting,Value Driven,Whitehorse,I,2012-13
"Review research, compile data and present to Tourism",OUTSIDE THE CUBE MANAGEMENT,"$2,678.00",2012-07-18,C00014570,Original,,,Tourism And Culture,Service,Value Driven,Whitehorse,D,2012-13
9-1-1 Feasibility Study Services,S. VOGSTAD ESC CONSULTING,"$12,100.00",2012-07-16,C00014617,Original,,,Community Services,General Consulting,Value Driven,Whitehorse,D,2012-13
9-1-1 Feasibility Study Services,S. VOGSTAD ESC CONSULTING,"$9,900.00",2012-07-16,C00014617,1,,,Community Services,General Consulting,Value Driven,Whitehorse,D,2012-13
9-1-1 Feasibility Study Services,S. VOGSTAD ESC CONSULTING,$0.00,2012-07-16,C00014617,2,,,Community Services,General Consulting,Value Driven,Whitehorse,D,2012-13
Engineering Site Assessment-McIntosh Forestry Road upgrade,BELISLE CIVIL CONSULTING INC,"$2,500.00",2012-07-30,C00014676,Original,,,"Energy, Mines & Resources",Service,Value Driven,Whitehorse,D,2012-13
Water quality assessment,TRANS NORTH TURBO AIR LTD,"$3,000.00",2012-07-20,C00014677,Original,,,"Energy, Mines & Resources",Aircraft Charter,Price Driven,Dawson City,D,2012-13
District inspections,TRANS NORTH TURBO AIR LTD,"$6,000.00",2012-07-25,C00014678,Original,,,"Energy, Mines & Resources",Aircraft Charter,Price Driven,Ross River,D,2012-13
Interior Painting Whitehorse Bldg#1233,BOB WILLIAMS O/A,"$1,800.00",2012-08-07,C00014736,Original,,,Highways & Public Works,Service,Price Driven,Whitehorse,D,2012-13
Washroom Alterations,HENRY BAUERNFIEND O/A HENRY,"$1,850.00",2012-07-25,C00014737,Original,,,Highways & Public Works,Service,Price Driven,Whitehorse,D,2012-13
Practicum,FRANKLIN FRU,"$6,000.00",2012-07-06,C00014738,Original,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2012-13
Mechanical & Electrical Tender Docs and Site Inspections,NORTHERN CLIMATE ENGINEERING,"$4,750.00",2012-06-01,C00014739,Original,,,Highways & Public Works,Construction,Price Driven,Carcross,D,2012-13
Mechanical & Electrical Tender Docs and Site Inspections,NORTHERN CLIMATE ENGINEERING,"$1,000.00",2012-06-01,C00014739,1,,,Highways & Public Works,Construction,Price Driven,Carcross,D,2012-13
Tender Documents for Replacement of Existing Fuel Lines,NORTHERN CLIMATE ENGINEERING,"$8,000.00",2012-07-27,C00014740,Original,,,Highways & Public Works,Construction,Price Driven,Whitehorse,D,2012-13
License to exhibit reproductions of 3 works by Joyce Majiski,CANADIAN ARTISTS,$931.00,2012-06-20,C00014571,Original,,,Tourism And Culture,Service,Value Driven,Whitehorse,D,2012-13
YGS field visits,FIREWEED HELICOPTERS LTD,"$1,500.00",2012-07-17,C00014572,Original,,,"Energy, Mines & Resources",Aircraft Charter,Price Driven,Mayo,D,2012-13
Consulting,BELISLE CIVIL CONSULTING INC,"$3,960.00",2012-07-17,C00014573,Original,,,"Energy, Mines & Resources",Service,Price Driven,Whitehorse,D,2012-13
To transport retardant as required,NORTHWEST VACUUM SERVICES LTD,"$10,000.00",2012-07-18,C00014574,Original,,,Community Services,Service,Value Driven,Whitehorse,D,2012-13
Rigging & Hoisting - Mech Ops,YUKON COLLEGE,"$2,395.00",2012-07-23,C00014618,Original,,,Highways & Public Works,Service,Price Driven,Whitehorse,D,2012-13
To service the Wildland Fire Management Forklifts.,TOTAL TRAC YUKON,"$10,000.00",2012-07-20,C00014619,Original,,,Community Services,Service,Value Driven,Whitehorse,D,2012-13
Geotechnical Inspection,KLOHN CRIPPEN BERGER LTD,"$97,997.00",2012-07-17,C00014620,Original,,AAMB-11-001-Klohn,"Energy, Mines & Resources",Engineering/Architectural,Value Driven,Faro,P,2012-13
Delivery of a tailored course,MURRAY EFFORD,"$5,200.00",2012-08-02,C00014621,Original,,,Environment,Service,Value Driven,Whitehorse,D,2012-13
YG Executive property tour,HORIZON HELICOPTERS LTD,"$1,500.00",2012-07-30,C00014679,Original,,,"Energy, Mines & Resources",Aircraft Charter,Price Driven,Dawson City,D,2012-13
YG Executive property tour,HORIZON HELICOPTERS LTD,$900.00,2012-07-30,C00014679,1,,,"Energy, Mines & Resources",Aircraft Charter,Price Driven,Dawson City,D,2012-13
Claims inspections,FIREWEED HELICOPTERS LTD,"$4,500.00",2012-07-25,C00014680,Original,,,"Energy, Mines & Resources",Aircraft Charter,Price Driven,Dawson City,D,2012-13
YG Executive property tour,TRANS NORTH TURBO AIR LTD,"$3,500.00",2012-08-18,C00014681,Original,,,"Energy, Mines & Resources",Aircraft Charter,Price Driven,Dawson City,D,2012-13
YG Executive property tour,ALKAN AIR LTD,"$5,235.00",2012-08-17,C00014682,Original,,,"Energy, Mines & Resources",Aircraft Charter,Price Driven,Whitehorse,D,2012-13
YG Executive property tour,ALKAN AIR LTD,"$1,805.75",2012-08-17,C00014682,1,,,"Energy, Mines & Resources",Aircraft Charter,Price Driven,Whitehorse,D,2012-13
Repair Generator  at Marsh Lake Water Treatment Plant,FINNING INTERNATIONAL INC,"$2,081.73",2012-06-13,C00014741,Original,,,Community Services,Service,Value Driven,Other,D,2012-13
Create cul-de-sac for Destruction Bay Transfer Station,L BOUDREAU & L JOHNSON,"$11,120.00",2012-08-06,C00014742,Original,,,Community Services,Construction,Value Driven,Destruction Bay,D,2012-13
Create cul-de-sac for Destruction Bay Transfer Station,L BOUDREAU & L JOHNSON,-$20.00,2012-08-06,C00014742,1,,,Community Services,Construction,Value Driven,Destruction Bay,D,2012-13
KDFN Cultural Centre Rental for Uniform Law Conference,KWANLIN DUN FIRST NATION,"$16,700.00",2012-07-17,C00014745,Original,,,Justice,Service,Value Driven,Whitehorse,D,2012-13
Pit Wall Stability Assessment,EBA ENGINEERING CONSULTANTS,"$38,580.00",2012-07-17,C00014575,Original,,AAMB-11-001-EBA,"Energy, Mines & Resources",Engineering/Architectural,Value Driven,Other,P,2012-13
Pit Wall Stability Assessment,EBA ENGINEERING CONSULTANTS,$0.00,2012-07-17,C00014575,1,,AAMB-11-001-EBA,"Energy, Mines & Resources",Engineering/Architectural,Value Driven,Other,P,2012-13
Dawson Hospital tour,ALPINE AVIATION (YUKON) LTD,"$2,448.00",2012-07-12,C00014576,Original,,,Health & Social Services,Aircraft Charter,Price Driven,Whitehorse,D,2012-13
Commissioning RFP for F.H. Collins Secondary,T-SQUARE ARCHITECTURE LTD,"$8,000.00",2012-07-17,C00014577,Original,,,Highways & Public Works,General Consulting,Price Driven,Whitehorse,D,2012-13
Commissioning RFP for F.H. Collins Secondary,T-SQUARE ARCHITECTURE LTD,"-$8,000.00",2012-07-17,C00014577,1,,,Highways & Public Works,General Consulting,Price Driven,Whitehorse,D,2012-13
CO inspections,ALPINE AVIATION (YUKON) LTD,"$3,420.00",2012-07-20,C00014622,Original,,,Environment,Aircraft Charter,Price Driven,Whitehorse,D,2012-13
Hauling fuel drums and retrieving empty drums,BLACK SHEEP AVIATION & CATTLE,"$5,000.00",2012-08-20,C00014623,Original,,,Environment,Aircraft Charter,Price Driven,Mayo,D,2012-13
Flex Travel FAM Tour Accommodation and Meals - July 1/12,GRAYLING CAMP ENTERPRISES LTD,"$2,773.30",2012-07-01,C00014624,Original,,,Tourism And Culture,Service,Price Driven,Haines Junction,D,2012-13
TOC Costs for MindUp Presenters,VANCOUVER SCHOOL BOARD #39,$950.00,2012-09-01,C00014625,Original,,,Education,Service,Price Driven,Whitehorse,D,2012-13
Yukon Government tExecutive property tour,ALKAN AIR LTD,"$5,355.00",2012-07-30,C00014683,Original,,,"Energy, Mines & Resources",Aircraft Charter,Price Driven,Whitehorse,D,2012-13
Remove light pole for Civil Phase 2 FH Collins,YUKON ELECTRICAL COMPANY,"$2,200.00",2012-07-23,C00014684,Original,,,Highways & Public Works,Construction,Price Driven,Whitehorse,D,2012-13
Remove light pole for Civil Phase 2 FH Collins,YUKON ELECTRICAL COMPANY,"$1,491.20",2012-07-23,C00014684,1,,,Highways & Public Works,Construction,Price Driven,Whitehorse,D,2012-13
